SOLICITUD;ESTADO_SOLICITUD;F_SOLCIITUD;F_CARGUE_SOLICITUD;Tipo_Op;ORIGEN;DESTINO;OBSERVACIONES;VIAJE;PLACA;FECHA CITA;CLIENTE;CANAL DE DISTRIBUCIÓN;NEGOCIO;CUMPLE;SEGUIMIENTO;CAUSA;ASIGNADA ;ABECEDARIO;CONS;MES;DIA;CITA REPRO.;TIPOLOGIA;PROPIETARIO;ConductorNombre;ConductorCel;
S2-363960;;11/04/2019;11/04/2019;NACIONAL;SOACHA;BUCARAMANGA;QUOOFICINA RECIBE DE LUNES A VIERNES //COMERCIO DIRECTO S.A.S//SODIMAC BUCARAMANGA CITA SABADO 13 ABRIL 6:00 A.M;;;13/04/2019 6:00;SD BUCARAMANGA;AUTOSERVICO ;CORLANC;SI;;;;;;;;;;;;;
S2-363969;Confirmada;11/04/2019;11/04/2019;NACIONAL;MADRID;MEDELLIN;CITA PARA CONSTRUIR EL DIA          13 DE ABRIL A LAS 6:00 AM SABADO      CARGUE ESTIBADO/PLANCHA/FRONTAL;VS-814717;TDZ916;13/04/2019 6:00;PARACONSTRUIR;MAYORISTA ;REVESTIMIENTO;SI;;;;;;;;;;;;;
S2-364001;Confirmada;11/04/2019;11/04/2019;NACIONAL;GIRARDOTA;BARRANQUILLA;CITA CRITICA  13  ABRIL  6  AM SODIMAC COL. S.A. (BARRANQUILLA CR 53)-CERAMIGRES BARRANQUILLA-  CITA 13 ABRIL 10 AM   ALTARES FASE 2 TORRE 2;VS-814768;SET295;13/04/2019 6:00;SD BARRANQUILLA;AUTOSERVICO ;BAÑOS y COCINAS;SI;;;;;;;;;;;;;
S2-364342;Confirmada;11/04/2019;12/04/2019;URBANO;MADRID;CAJICA;BOGOTA 2 CITA SODIMAC CAJICA SE ENTREGA EL SABADO 13 DE ABRIL 6 AM;VS-815129;USA223;13/04/2019 6:00;SD CAJICA;AUTOSERVICO ;BAÑOS y COCINAS;SI;;;;;;;;;;;;;
S2-364369;;11/04/2019;12/04/2019;URBANO;YUMBO;CALI;FERREUNIVERSAL DEL VALLE S.A CITA SABADO 13 ABRIL 6:00 A.M//FABIO NELSON ORTEGA;;;13/04/2019 6:00;FERREUNIVERSAL DEL VALLE S.A.S.;DETALLISTA;SUMICOL;SI;;;;;;;;;;;;;
S2-364401;Confirmada;11/04/2019;12/04/2019;NACIONAL;MADRID;GIRARDOT;GIRARDOT 4,5 CITA SODIMAC GIRARDOT SE ENTREGA EL SABADO 13 DE ABRIL 6 AM Y 2 CLIENTES MAS;VS-815240;SXV140;13/04/2019 6:00;SD GIRARDOT;AUTOSERVICO ;BAÑOS y COCINAS;SI;.;;;;;;;;;;;;
S2-364403;Confirmada;11/04/2019;12/04/2019;URBANO;MADRID;BOGOTA;BOGOTA 3,5 CITA SODIMAC CALIMA SE ENTREGA EL SABADO 13 DE ABRIL 6 AM Y UN CLIENTE MAS  OJO CARRO DE AMERICAN STANDARD;;SPM753;13/04/2019 6:00;SD CALIMA;AUTOSERVICO ;BAÑOS y COCINAS;SI;;;;;;;;;;;;;
S2-364420;Confirmada;11/04/2019;12/04/2019;NACIONAL;SOACHA;VILLAVICENCIO;SODIMAC VILLAVO CITA SABADO 13 ABRIL 6:00 A.M//ROJAS HERMANOS SAS//INVERSIONES RUIZ CAPOTE LIMI;VS-815357;WZC375;13/04/2019 6:00;SD VILLAVICENCIO ;AUTOSERVICO ;SUMICOL;SI;;;;;;;;;;;;;
S2-364936;Confirmada;12/04/2019;12/04/2019;URBANO;YUMBO;CALI;SODIMAC CALI SUR CITA SABADO 13ABRIL 6:00 A.M;VS-816191;SAI344;13/04/2019 6:00;SD CALI SUR;AUTOSERVICO ;SUMICOL;SI;;;;;;;;;;;;;
S2-364938;Confirmada;12/04/2019;12/04/2019;URBANO;YUMBO;CALI;TC CHIPICHAPE CITA SABADO 13 ABRIL 6:00 A.M//PVC (HOME MARKET)//ANDRES GARRIDO;VS-816232;XGD287;13/04/2019 6:00;AC CD HC CHIPICHAPE;ALMACENES CORONA;SUMICOL;SI;;;;;;;;;;;;;
S2-364982;Confirmada;12/04/2019;12/04/2019;URBANO;SOACHA;SOACHA;"SODIMAC SOACHA CITA SABADO 13 ABRIL 6:00 A.M
";VS-815892;SNA235;13/04/2019 6:00;SD SOACHA;AUTOSERVICO ;SUMICOL;SI;;;;;;;;;;;;;
S2-364983;Confirmada;12/04/2019;12/04/2019;URBANO;SOACHA;CAJICA;SODIMAC CAJICA CITA SABADO 13 ABRIL 6:00 A.M//FERERETERIA;VS-815824;XHB081;13/04/2019 6:00;SD CAJICA;AUTOSERVICO ;SUMICOL;SI;;;;;;;;;;;;;
S2-365049;Confirmada;12/04/2019;12/04/2019;NACIONAL;SOACHA;VILLAVICENCIO;SODIMAC VILLAVO CITA SABADO 13 ABRIL 6:00 A.M//PALMA REAL//ROJAS HERMANOS SAS;VS-815924;WTC528;13/04/2019 6:00;SD VILLAVICENCIO ;AUTOSERVICO ;SUMICOL;SI;;;;;;;;;;;;;
S2-365069;Confirmada;12/04/2019;12/04/2019;URBANO;MADRID;BOGOTA;MOSQUERA-BOGOTA 1 CITA AC VENECIA SE ENTREGA EL SABADO 13 DE ABRIL 6 AM Y SODIMAC SUR 8 AM  OJO SON SOLO ZONA DE SUEÑOS URGENTES;VS-815894;UFQ340;13/04/2019 6:00;AC CD HC VENECIA;ALMACENES CORONA;BAÑOS y COCINAS;SI;;;;;;;;;;;;;
S2-365073;Confirmada;12/04/2019;12/04/2019;URBANO;MADRID;BOGOTA;BOGOTA 1 CITA AC MOSQUERA SE ENTREGA EL SABADO 13 DE ABRIL 6 AM Y AC RICAURTE 11 AM;VS-815926;WFI931;13/04/2019 6:00;AC CD TC MOSQUERA;ALMACENES CORONA;BAÑOS y COCINAS;SI;;;;;;;;;;;;;
